,Name,State,Location,Date Formed,Area,Description
10,Bitterroot,"Montana, Idaho",﻿45.767°N 114.283°W,"February 22, 1897","1,594,579 acres (6,453.0 km2)","Bitterroot National Forest is located in the Bitterroot and Sapphire mountains, reaching its highest point at 10,157 ft (3,096 m) at Trapper Peak. The forest is named for the bitterroot plant.[12]:192–199[20]"
11,Black Hills,"South Dakota, Wyoming",﻿44.000°N 103.783°W,"February 22, 1897","1,250,866 acres (5,062.1 km2)","Consisting predominately of Ponderosa pine, this forest is located in the namesake Black Hills. There are 11 reservoirs, 353 mi (568 km) of trails, and 1,300 mi (2,100 km) of streams in this forest. Black Elk Peak is the highest point in South Dakota and the highest point in the United States east of the Rocky Mountains at 7,244 ft (2,208 m).[12]:293–301[21]"
12,Boise,Idaho,﻿44.117°N 115.567°W,"July 1, 1908","2,648,273 acres (10,717.2 km2)","Portions of the Boise, Payette, and South and Middle Forks of the Salmon River drainages make up the forest. There are over 7,600 mi (12,200 km) of streams and more than 250 lakes and reservoirs in the forest.[22]"
13,Bridger-Teton,Wyoming,﻿42.750°N 110.750°W,"February 22, 1897","3,383,302 acres (13,691.7 km2)","As part of the Greater Yellowstone Ecosystem, Bridger-Teton National Forest has 27 glaciers in its portion of the Wind River Range. The Gros Ventre landslide formed a dam on the Gros Ventre River in 1925 before failing in 1927.[23]"
14,Caribou-Targhee,"Idaho, Wyoming",﻿41.950°N 112.133°W,"May 23, 1905","2,624,739 acres (10,621.9 km2)",The forest’s Jedediah Smith Wilderness has many caves and the Winegar Hole Wilderness protects grizzly bear habitat in the Greater Yellowstone ecosystem. The Upper and Lower Mesa Falls are on Henrys Fork of the Snake River and tours of Minnetonka Cave are available.[24]
15,Carson,New Mexico,﻿36.500°N 106.067°W,"November 7, 1906","1,390,885 acres (5,628.7 km2)","In the Sangre de Cristo Mountains, this forest has over 330 mi (530 km) of trails and Taos Ski Valley. The highest point in the forest is Wheeler Peak, also New Mexico’s highest point, at 13,161 ft (4,011 m).[12]:246–253[25]"
16,Chattahoochee-Oconee,Georgia,﻿34.750°N 84.117°W,"July 9, 1936","866,763 acres (3,507.7 km2)","With 430 mi (690 km) of trails, this forest contains the southern terminius of the Appalachian Trail. Georgia’s highest point, Brasstown Bald at 4,784 ft (1,458 m) is in the forest, and several Civil War battles were fought in the area.[8]:56–70[26]"
17,Chequamegon-Nicolet,Wisconsin,﻿46.033°N 90.800°W,"March 2, 1933","1,523,704 acres (6,166.2 km2)","There are 2,020 lakes, 440 spring ponds, and 347,000 acres (140,000 ha) of wetlands in this National Forest. There are also 493 mi (793 km) of non-motorized trails, 292 mi (470 km) of motorized trails, and 9,000 mi (14,000 km) of roads alongside five wilderness areas.[27]"
18,Cherokee,"Tennessee, North Carolina",﻿35.867°N 83.050°W,"June 14, 1920","656,394 acres (2,656.3 km2)","Cherokee National Forest has eleven wilderness areas, three large lakes, and over 600 mi (970 km) of trails, including 150 mi (240 km) of the Appalachian Trail in the Great Smoky Mountains. There are 43 mammal species, 154 fish species, 55 amphibian species, and 262 bird species in the forest.[28]"
19,Chippewa,Minnesota,﻿47.400°N 94.133°W,"May 23, 1908","671,952 acres (2,719.3 km2)","With 1,300 lakes and ponds, 925 mi (1,489 km) of rivers, and 440,000 acres (180,000 ha) of wetlands, there are many opportunities for boating and fishing in this forest. There are over 180 nesting pairs of bald eagles as well as Canada lynx, and sandhill cranes here.[12]:144–150[29]"
20,Chugach,Alaska,﻿60.467°N 149.117°W,"July 23, 1907","5,419,095 acres (21,930.3 km2)","As the third largest National Forest, Chugach covers three unique landscapes: the Copper River Delta, Eastern Kenai Peninsula, and Prince William Sound. Many of the streams contain salmon and trout, and glaciers still carve the land here. Over half of the forest is tundra and glaciers.[30][31]:2–9"
21,Cibola,New Mexico,﻿34.333°N 107.583°W,"November 6, 1906","1,616,435 acres (6,541.5 km2)","Part of this National Forest are four wilderness areas, including the Sandia Mountain Wilderness east of Albuquerque. Elevations range from 5,000 ft (1,500 m) to 11,301 ft (3,445 m) at the summit of Mount Taylor, a stratovolcano in the San Mateo Mountains.[12]:253–265[32]"
22,Clearwater,Idaho,﻿46.550°N 115.150°W,"July 1, 1908","1,682,068 acres (6,807.1 km2)","The forest covers the Bitterroot Mountains and Palouse Prairie as well as the Clearwater and Lochsa rivers. The Lewis and Clark Expedition followed the Lolo Trail through the forest in 1805, and gold miners came to the forest in the 1860s.[31]:168–173[33]"
23,Cleveland,California,﻿32.750°N 116.600°W,"February 25, 1893","425,580 acres (1,722.3 km2)","In southern California, Cleveland National Forest has a Mediterranean climate and four wilderness areas. There are 22 endangered plant and animal species found in the forest. With its highest point at 6,271 ft (1,911 m) on Monument Peak, elevations are not as high here as in most of California’s other National Forests.[31]:81–84[34]"
24,Coconino,Arizona,﻿34.750°N 111.550°W,"August 17, 1898","1,852,201 acres (7,495.6 km2)","The San Francisco Peaks, Mogollon Rim, and Oak Creek Canyon can be found in Coconino National Forest. The forest’s Sycamore Canyon is the second largest canyon in Arizona’s redrock country. The forest also contains Humphreys Peak, which at 12,637 ft (3,852 m) is the highest point in Arizona.[31]:28–37[35]"
25,Colville,Washington,﻿48.533°N 117.900°W,"March 1, 1907","954,668 acres (3,863.4 km2)","With 486 mi (782 km) of hiking trails, Colville National Forest has elevations that range up to 7,300 ft (2,200 m) in the Kettle River and Selkirk mountains. Part of the Salmo-Priest Wilderness is in the forest along with part of the Pacific Northwest National Scenic Trail.[36]"
26,Conecuh,Alabama,﻿31.083°N 86.633°W,"July 17, 1936","83,983 acres (339.9 km2)","Managed together with Alabama’s other National Forests, Conecuh has two areas designated for recreation: Blue Lake and Open Pond. The dry, sandy uplands support longleaf pine forest, while bottomlands have sinkhole ponds, springs, and swamps.[8]:2–8[37]"
27,Coronado,"Arizona, New Mexico",﻿32.500°N 110.667°W,"April 11, 1902","1,718,945 acres (6,956.3 km2)","Covering the sky islands of the Southwest, Coronado National Forest also includes Mount Wrightson and the birding destination of Madera Canyon. There are eight wilderness areas in the forest as well as observatories on Mount Hopkins and Mount Lemmon[38]"
28,Croatan,North Carolina,﻿34.867°N 77.000°W,"July 29, 1936","161,325 acres (652.9 km2)","The only coastal National Forest on the east coast, Croatan includes estuaries and pocosins. The forest is home to carnivorous plants such as the Venus flytrap and pitcher plant. Cedar Point is a recreation area at the mouth of the White Oak River.[8]:214–222[39]"
29,Custer,"Montana, South Dakota",﻿45.500°N 106.000°W,"March 2, 1907","1,189,465 acres (4,813.6 km2)","Custer National Forest includes the Beartooth Highway and the Capitol Rock and the Castles National Natural Landmarks. The forest’s Absaroka-Beartooth Wilderness includes Granite Peak, the highest point in Montana at 12,807 ft (3,904 m).[40]"
30,Daniel Boone,Kentucky,﻿37.283°N 83.867°W,"February 23, 1937","564,168 acres (2,283.1 km2)","Encompassing part of the Cumberland Plateau and Appalachian Mountains, Daniel Boone National Forest has two wilderness areas and several reservoirs. Scenic areas include Cumberland Falls, Red River Gorge, Yahoo Arch and many caves.[41]"
31,Davy Crockett,Texas,﻿31.300°N 95.100°W,"October 13, 1936","161,140 acres (652.1 km2)","Located where the southeastern pine forests meet the blackland prairies of central Texas, Davy Crockett National Forest’s Big Slough Wilderness consists primarily hardwood forest. A recreation area surrounds Ratcliff Lake, which covers 45 acres (18 ha).[12]:310–312[42]"
32,Delta,Mississippi,﻿32.750°N 90.767°W,"January 12, 1961","62,109 acres (251.3 km2)","Delta National Forest contains the only bottomland hardwood forest in the National Forest System, located in the floodplain of the Mississippi River.[18] The forest includes the Green Ash-Overcup Oak-Sweetgum Research Natural Areas, which is a National Natural Landmark because it contains remnant bottomland old-growth forest.[8]:167–172[43]"
33,Deschutes,Oregon,﻿43.833°N 121.533°W,"July 1, 1908","1,612,218 acres (6,524.4 km2)","On the east side of the Cascade Range, Deschutes National Forest includes Newberry National Volcanic Monument and five wilderness areas. Lava River Cave, at 5,211 ft (1,588 m) long, is Oregon’s longest lava tube.[44]"
34,De Soto,Mississippi,﻿31.033°N 88.983°W,"June 17, 1936","532,100 acres (2,153.3 km2)",De Soto National Forest contains Mississippi’s only wilderness areas: Black Creek and Leaf River. The Black Creek and Tuxachanie National Recreation Trails provide 60 mi (97 km) of hiking opportunities. Black Creek has been designated a National Wild and Scenic River for 21 mi (34 km).[8]:173–178[18]
35,Dixie,Utah,﻿38.250°N 111.500°W,"September 25, 1905","1,885,655 acres (7,631.0 km2)","Straddling the divide between the Great Basin and Colorado River, Dixie National Forest has elevations ranging from 2,800 ft (850 m) near St. George to 11,322 ft (3,451 m) on Boulder Mountain. Ashdown Gorge, Box-Death Hollow, Cottonwood Forest, and Pine Valley Mountain wilderness areas are in the forest.[45]"
36,Eldorado,California,﻿38.783°N 120.317°W,"July 28, 1910","695,098 acres (2,813.0 km2)","In the Sierra Nevada, Eldorado National Forest has 611 mi (983 km) of fishable streams and 297 lakes and reservoirs. There are 349 mi (562 km) of trails and 2,367 mi (3,809 km) of roads in the forest. The forest’s Desolation Wilderness is the most visited wilderness area per acre in the country.[31]:84–88[46]"
37,El Yunque,Puerto Rico,﻿18.283°N 65.800°W,"January 17, 1903","28,683 acres (116.1 km2)","The only tropical rainforest in the National Forest System, higher elevations of El Yunque National Forest receive nearly 200 in (510 cm) of rainfall per year. There are 240 tree species in the forest, 23 of which are endemic to the forest, being found nowhere else in the world.[47][48]"
38,Finger Lakes,New York,﻿42.517°N 76.783°W,"January 1, 1983","16,352 acres (66.2 km2)","Located between Seneca and Cayuga lakes, Finger Lakes National Forest is one of the smallest National Forests. The Gorge Trail enters a small gorge in the forest, and the North Country Trail crosses part of the forest.[8]:209–212[49]"
39,Fishlake,Utah,﻿38.700°N 111.950°W,"February 10, 1899","1,452,969 acres (5,880.0 km2)","Located in south central Utah, Fishlake National Forest is named for Fish Lake, the state’s largest natural mountain lake. The forest’s Tushar Mountains reach their highest point at 12,174 ft (3,711 m) on Delano Peak.[31]:284–288[50]"
40,Flathead,Montana,﻿48.017°N 113.800°W,"February 22, 1897","2,413,573 acres (9,767.4 km2)","Bordering Glacier National Park, Flathead is home to grizzly bears, bull trout, and Canada lynx. The forest manages four wilderness areas, including the Bob Marshall and Great Bear wildernesses.[12]:203–208[51]"
41,Francis Marion,South Carolina,﻿33.167°N 79.700°W,"July 10, 1936","258,673 acres (1,046.8 km2)","Francis Marion National Forest is home to 150 mi (240 km) of streams and a variety of wildlife, including the endangered red-cockaded woodpecker. There are four wilderness areas in the forest, and it is managed together with Sumter National Forest.[8]:282–289[52]"
42,Fremont-Winema,Oregon,﻿42.567°N 120.867°W,"September 17, 1906","2,253,796 acres (9,120.8 km2)","Encompassing the Warner Mountains and bordering Crater Lake National Park, Fremont-Winema National Forest also includes the semi-arid areas of the Oregon Outback. The Gearhart Mountain Wilderness is near the center of the forest.[31]:217–220[53]"
43,Gallatin,Montana,﻿45.250°N 111.000°W,"February 10, 1899","1,849,701 acres (7,485.5 km2)","Bordering the north side of Yellowstone National Park, Gallatin National Forest contains parts of both the Absaroka-Beartooth and Lee Metcalf wilderness areas. Quake Lake was formed on the Madison River when an earthquake launched a landslide across the river in 1959.[54]"
44,George Washington & Jefferson,"Virginia, West Virginia, Kentucky",﻿38.200°N 79.350°W,"May 16, 1918","1,792,209 acres (7,252.8 km2)","In the Appalachian Mountains, the highest point of the forest is Mount Rogers, also the highest point in Virginia at 5,729 ft (1,746 m) in Mount Rogers National Recreation Area. There are 230,000 acres (93,000 ha) of old-growth forest here, and the Blue Ridge Parkway and Appalachian Trail both run through the forest.[55]"
45,Gifford Pinchot,Washington,﻿46.167°N 121.800°W,"July 1, 1908","1,312,274 acres (5,310.6 km2)","Gifford Pinchot National Forest includes Mount St. Helens National Volcanic Monument and parts of seven wilderness areas. There are 1,475 mi (2,374 km) of trails and 4,104 mi (6,605 km) of roads in the forest.[56]"
46,Gila,New Mexico,﻿33.283°N 108.333°W,"March 2, 1899","2,658,321 acres (10,757.8 km2)","The forest’s Gila Wilderness was the world’s first wilderness area and was proclaimed on June 3, 1924. The Catwalk National Recreation Trail travels up a narrow canyon for 1.1 mi (1.8 km) while following Whitewater Creek.[57]"
47,Grand Mesa,Colorado,﻿39.083°N 107.900°W,"July 1, 1908","345,939 acres (1,400.0 km2)","In western Colorado, Grand Mesa National Forest covers part of Battlement Mesa and most of Grand Mesa, the largest flattop mountain in the world with an average elevation of 10,500 ft (3,200 m). There are over 300 lakes in the forest. It is managed together with Gunnison National Forest and Uncompahgre National Forest.[12]:49–56[58]"
48,Green Mountain,Vermont,﻿43.300°N 73.000°W,"April 25, 1932","408,419 acres (1,652.8 km2)","In Vermont’s Green Mountains, this forest includes eight wilderness areas. Among the 900 mi (1,400 km) of trails in the forest are the Appalachian Trail and two National Recreation Trails: Long and Robert Frost.[59]"
49,Gunnison,Colorado,﻿38.683°N 106.683°W,"May 12, 1905","1,666,514 acres (6,744.1 km2)","Gunnison National Forest is located in the Rocky Mountains near Gunnison, Colorado. Among the seven wilderness areas in the forest are the Maroon Bells-Snowmass Wilderness. The Slumgullion Slide is a giant landslide due to the mineral montmorillonite.[12]:56–67[58]"
50,Helena,Montana,﻿46.550°N 112.200°W,"April 12, 1906","982,385 acres (3,975.6 km2)","The Continental Divide Trail travels almost 80 mi (130 km) through the forest, which surrounds Montana’s capital city. The Elkhorn Mountains are the only Wildlife Management unit in the National Forest System.[60]"
51,Hiawatha,Michigan,﻿46.167°N 86.667°W,"January 16, 1931","898,475 acres (3,636.0 km2)","Located in Michigan’s Upper Peninsula, Hiawatha National Forest borders Lake Superior, Lake Michigan, and Lake Huron. The forest is home to Grand Island National Recreation Area and five wilderness areas.[61]"
52,Holly Springs,Mississippi,﻿34.567°N 89.300°W,"June 15, 1936","156,243 acres (632.3 km2)","In north-central Mississippi, Holly Springs National Forest has small lakes in upland forests and unique bottomlands. Chewalla and Puskus recreation areas surround the namesake lakes and have boat launches.[8]:178–180[18]"
53,Homochitto,Mississippi,﻿31.433°N 90.933°W,"July 20, 1936","192,237 acres (778.0 km2)","Located in southern Mississippi, this forest is named for the Homochitto River, meaning “Big Red River.” Most of the forest is densely forested hills, but there are recreation facilities at Pipes Lake, Clear Springs, and Mount Nebo.[8]:180–186[18]"
54,Hoosier,Indiana,﻿38.517°N 86.517°W,"October 1, 1961","203,627 acres (824.0 km2)",The Pioneer Mothers Memorial Forest is 88 acres (36 ha) of old-growth forest in Hoosier National Forest. The forest’s Charles C. Deam Wilderness is Indiana’s only wilderness area.[62]
55,Humboldt-Toiyabe,"Nevada, California",﻿40.383°N 115.550°W,"May 3, 1906","6,290,945 acres (25,458.6 km2)","As the largest National Forest outside of Alaska, Humboldt-Toiyabe occupies many of the mountains of Nevada’s Basin and Range Province. Spring Mountains National Recreation Area is located near Las Vegas and is part of the forest.[63]"
56,Huron-Manistee,Michigan,﻿44.550°N 83.867°W,"July 30, 1928","975,130 acres (3,946.2 km2)",Loda Lake National Wildflower Sanctuary is located around a small spring-fed lake in the forest. The Nordhouse Dunes Wilderness has sand dunes up to 140 ft (43 m) high along Lake Michigan.[64]
57,"Idaho Panhandle Coeur d'Alene, St. Joe, Kaniksu","Idaho, Montana, Washington",﻿47.717°N 116.217°W,"November 6, 1906","3,074,438 acres (12,441.8 km2)","There are two wilderness areas, Cabinet Mountains and Salmo-Priest, and numerous recreation opportunities in Idaho Panhandle National Forest. This forest ranges from the Canada–US border to the Saint Joe River, which is the highest navigable river in the world.[31]:173–179[65]"
58,Inyo,"California, Nevada",﻿37.500°N 118.650°W,"May 25, 1907","1,957,264 acres (7,920.8 km2)","Located in the Sierra Nevada, Inyo includes Mono Lake, bristlecone pines, the Long Valley Caldera, nine wilderness areas, and Mount Whitney, which at 14,505 ft (4,421 m) is the highest point in the United States outside of Alaska.[66]"
59,Kaibab,Arizona,﻿35.933°N 112.150°W,"July 1, 1908","1,561,060 acres (6,317.4 km2)","Located on the Colorado Plateau to both the north and south of Grand Canyon National Park, elevations in Kaibab National Forest reach 10,418 ft (3,175 m) on Kendrick Mountain in the Kendrick Mountain Wilderness. There are over 300 mi (480 km) of trails in the forest, including through the Kanab Creek Wilderness.[67]"
60,Kisatchie,Louisiana,﻿31.000°N 92.617°W,"June 10, 1930","607,540 acres (2,458.6 km2)","Kisatchie is Louisiana’s only National Forest, covering old-growth pine forest and bald cypress groves in the bayous. There are 48 mammal species, 56 reptiles, 30 amphibians, and 155 breeding or overwintering birds in this forest.[68]"
61,Klamath,"California, Oregon",﻿41.500°N 123.133°W,"May 6, 1905","1,672,442 acres (6,768.1 km2)","Straddling the California-Oregon border, this forest has part of five wilderness areas, 152 mi (245 km) of wild and scenic rivers, and 200 mi (320 km) of rivers for rafting, including on the Klamath River.The Siskiyou mariposa lily is endemic to the forest, being found nowhere else in the world.[69]"
62,Kootenai,"Montana, Idaho",﻿48.533°N 115.433°W,"August 13, 1906","1,810,361 acres (7,326.3 km2)",Kootenai includes the Cabinet Mountains and the Kootenai and Clark Fork rivers. The Noxon and Cabinet Gorge reservoirs are on the Clark Fork within the forest. The Northwest Peak Scenic Area is in the Selkirk Mountains.[12]:222–226[70]
63,Lake Tahoe Basin Management Unit,"California, Nevada",﻿38.917°N 119.967°W,"April 1, 1973","152,008 acres (615.2 km2)","The Forest Service lands surrounding Lake Tahoe are managed by the Lake Tahoe Basin Management Unit, which was created in April 1973 in order to protect the lake's unique ecological and recreational values.[71][72]E"
64,Land Between The Lakes,"Kentucky, Tennessee",﻿36.77750°N 88.06306°W,"June 1, 1963","171,251 acres (693.0 km2)","Land Between The Lakes National Recreation area is located in Western Kentucky and Tennessee, and encompasses over 170,000 acres of forests, wetlands, and open lands on the largest inland peninsula in the United States. It is located between Kentucky Lake and Lake Barkley.[73]"
65,Lassen,California,﻿40.083°N 121.233°W,"June 2, 1905","1,066,027 acres (4,314.1 km2)","Surrounding Lassen Volcanic National Park, this forest has three wilderness areas and 92,000 acres (37,000 ha) of old-growth Sierra Nevada mixed conifer forests. Subway Cave is a lava tube that is 0.3 mi (0.48 km) long and open to the public.[74]"
66,Lewis and Clark,Montana,﻿46.917°N 110.633°W,"February 22, 1897","1,871,490 acres (7,573.7 km2)","Located in north-central Montana, this forest includes seven mountain ranges and large portions of the Bob Marshall and Scapegoat wilderness areas. The forest operates the Lewis and Clark Interpretive Center in Great Falls.[75]"
67,Lincoln,New Mexico,﻿32.950°N 105.433°W,"July 26, 1902","1,095,470 acres (4,433.2 km2)","With portions of four mountain ranges, the Capitan, Guadalupe, Sacramento, and Sierra Blanca mountains, elevations range from 4,000 ft (1,200 m) to 11,500 ft (3,500 m) in Lincoln National Forest. The forest was the birthplace of Smokey Bear.[76]"
68,Lolo,Montana,﻿47.150°N 114.433°W,"September 20, 1906","2,237,961 acres (9,056.7 km2)","Located west of the Continental Divide and containing parts of four wilderness areas, this forest has 700 mi (1,100 km) of trails and over 100 named lakes. There are at least 20 fish species, 60 mammals, 300 birds, and 1,500 plants in the forest.[77]"
69,Los Padres,California,﻿34.533°N 119.767°W,"March 2, 1898","1,772,237 acres (7,172.0 km2)","Encompassing portions of the California Coast and Transverse ranges of central California, Los Padres has ten wilderness areas covering about 48% of the forest. There are 1,257 mi (2,023 km) of trails and part of the Jacinto Reyes National Scenic Byway.[78]"
70,Malheur,Oregon,﻿44.250°N 118.850°W,"July 1, 1908","1,480,818 acres (5,992.7 km2)","In the Blue Mountains of eastern Oregon, Malheur National Forest’s highest point is Strawberry Mountain at 9,038 ft (2,755 m). The Cedar Grove Botanical Area contains the only stand of Alaska yellow cedar east of the Cascade Range in the United States.[79]"
71,Manti-La Sal,"Utah, Colorado",﻿38.383°N 109.017°W,"May 29, 1903","1,269,984 acres (5,139.4 km2)","Including the La Sal and Abajo mountains of eastern Utah, elevations in this forest reach 12,721 ft (3,877 m) on Mount Peale. The Dark Canyon Wilderness is the only wilderness area in the forest.[31]:288–298[80]"
72,Mark Twain,Missouri,﻿37.000°N 91.500°W,"September 11, 1939","1,504,881 acres (6,090.0 km2)","Missouri’s only National Forest, Mark Twain contains seven wilderness areas and the Eleven Point National Wild and Scenic River. There are 19 natural areas in the forest that are managed by the Missouri Department of Conservation.[81]"
73,Medicine Bow – Routt,"Colorado, Wyoming",﻿41.233°N 106.250°W,"May 22, 1902","2,210,327 acres (8,944.9 km2)","This forest contains many ranges of the Rocky Mountains with elevations ranging from 5,500 ft (1,700 m) to 12,940 ft (3,940 m). There are ten wilderness areas and Rob Roy Reservoir, which covers 500 acres (200 ha).[82]"
74,Mendocino,California,﻿39.633°N 122.850°W,"July 1, 1908","915,532 acres (3,705.0 km2)","Mendocino is the only National Forest in California not crossed by a paved highway. The forest’s Genetic Resource and Conservation Center produces plants for reforestation, watershed restoration, wildlife recovery, and other projects.[83]"
75,Modoc,California,﻿41.567°N 120.883°W,"November 29, 1904","1,680,405 acres (6,800.4 km2)","Modoc National Forest contains the Medicine Lake Volcano, which has an elevation of 7,921 ft (2,414 m) and is the largest shield volcano in North America. There are 43,400 acres (17,600 ha) of old-growth forest here along with Mill Creek Falls in the South Warner Wilderness.[84]"
76,Monongahela,West Virginia,﻿38.550°N 79.900°W,"April 28, 1920","920,583 acres (3,725.5 km2)","Monongahela National Forest includes Spruce Knob-Seneca Rocks National Recreation Area and eight wilderness areas. Spruce Knob is the highest point in West Virginia at 4,863 ft (1,482 m), and Seneca Rocks is a 900 ft (270 m) quartzite crag.[85]"
77,Mount Baker-Snoqualmie,Washington,﻿48.467°N 121.417°W,"February 22, 1897","2,562,955 acres (10,371.9 km2)","In the Cascade Range, this forest includes Mount Baker, at an elevation of 10,781 ft (3,286 m), a glaciated stratovolcano. Mount Baker National Recreation Area, the Pacific Crest Trail, Pacific Northwest National Scenic Trail, and portions of ten wilderness areas are in the forest.[86]"
78,Mount Hood,Oregon,﻿45.267°N 121.817°W,"June 17, 1892","1,069,427 acres (4,327.8 km2)","This forest is named for and contains Mount Hood, the highest point in Oregon at 11,249 ft (3,429 m). The forest stretches from the Columbia River Gorge and includes Mount Hood National Recreation Area and nine wilderness areas.[87]"
79,Nantahala,North Carolina,﻿35.200°N 83.550°W,"February 6, 1907","532,300 acres (2,154.1 km2)","In southwestern North Carolina, this forest includes the Nantahala Gorge and Nantahala River. There are 600 mi (970 km) of trails in the forest with elevations ranging from 1,200 ft (370 m) to 5,800 ft (1,800 m) on Lone Bald.[39]"
80,Nebraska,Nebraska,﻿41.700°N 100.367°W,"April 16, 1902","140,813 acres (569.8 km2)",This forest was created in 1902 by Charles E. Bessey as an experiment to see if a forest could be created in treeless areas of the Great Plains for use as a national timber reserve. The Bessey Nursery is located in the northwest corner of the forest’s Bessey Ranger District.[12]:240–242[88]
81,Nez Perce,Idaho,﻿45.450°N 115.917°W,"July 1, 1908","2,223,586 acres (8,998.5 km2)","Nez Perce National Forest includes parts of four wilderness areas: Frank Church-River of No Return, Gospel Hump, Hells Canyon, and Selway-Bietterroot. This forest is managed together with Clearwater National Forest.[89]"
82,Ocala,Florida,﻿29.200°N 81.733°W,"November 24, 1908","384,693 acres (1,556.8 km2)","Ocala protects the world’s largest sand pine scrub forest. There are more than 600 lakes, rivers, and springs in the forest along with four wilderness areas. There are over 600 lakes and part of the Florida Trail in the forest.[8]:34–37[90]"
83,Ochoco,Oregon,﻿44.367°N 120.117°W,"July 1, 1911","854,817 acres (3,459.3 km2)","Ochoco National Forest contains a variety of odd geological formations, 95,000 acres (38,000 ha) of old-growth forest, the headwaters of the Crooked River, and three wilderness areas. Stein’s Pillar is a 350 ft (110 m) tall rock column in the Ochoco Mountains.[31]:227–229[44]"
84,Okanogan-Wenatchee,Washington,﻿48.633°N 119.583°W,"July 1, 1911","1,501,826 acres (6,077.7 km2)","Located on the eastern side of the Cascade Range, this forest stretches from the Canada–US border to the Columbia and Okanogan rivers. There are 1,285 mi (2,068 km) of trails in the forest, including part of the Pacific Crest Trail.[31]:329–332[91]"
85,Olympic,Washington,﻿48.117°N 124.250°W,"February 22, 1897","631,808 acres (2,556.8 km2)","Olympic National Forest surrounds Olympic National Park on the Olympic Peninsula of Washington. There are five wilderness areas, occupying about 14% of the forest. This part of Washington receives more rainfall annually than anywhere else in the United States.[31]:332–338[92]"
86,Osceola,Florida,﻿30.317°N 82.450°W,"July 10, 1931","160,192 acres (648.3 km2)","The Big Gum Swamp Wilderness is the forest’s only wilderness area, and the Osceola Research Natural Area was designated a National Natural Landmark in 1974. The Civil War Battle of Olustee occurred in what is now the forest, and 23 mi (37 km) of the Florida National Scenic Trail pass through the forest.[93]"
